"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
408.3,0.851696536202,408.3,0.842916151675,408.3,0.847536316472,408.3,0.847746318761,408.3,0.84854680705,408.3,0.848849317159
409,0.783718356603,409,0.777333638514,409,0.780681200885,409,0.781249027237,409,0.780368734264,409,0.781773708705
409.6,0.7357371252,409.6,0.72939360647,409.6,0.732464980545,409.6,0.732437705043,409.6,0.73071435111,409.6,0.733172961013
410.2,0.829705996796,410.2,0.821578698405,410.2,0.825480163272,410.2,0.825831311513,410.2,0.827644235904,410.2,0.825977569238
410.9,0.874401960784,410.9,0.865809262226,410.9,0.871815709163,410.9,0.869128786145,410.9,0.869511940185,410.9,0.871450980392
411.5,0.85945803769,411.5,0.851432974746,411.5,0.855279507134,411.5,0.854511406119,411.5,0.854656519417,411.5,0.858154268711
412.2,0.835821049821,412.2,0.830318303197,412.2,0.833526245518,412.2,0.832205004959,412.2,0.834133134966,412.2,0.836513923857
412.8,0.837209620813,412.8,0.831026321813,412.8,0.838551041428,412.8,0.836326466773,412.8,0.833842450599,412.8,0.837878843366
413.5,0.846291790646,413.5,0.83970031281,413.5,0.844039711604,413.5,0.84483260853,413.5,0.84222652018,413.5,0.844735484855
414.1,0.832156595712,414.1,0.825461356527,414.1,0.830867360952,414.1,0.828410849165,414.1,0.830865415427,414.1,0.831211413748
414.8,0.836320019837,414.8,0.826922407874,414.8,0.830662127108,414.8,0.830998779278,414.8,0.831900740063,414.8,0.83258548867
415.4,0.861020561532,415.4,0.851835812924,415.4,0.85877534905,415.4,0.85670717937,415.4,0.858324788281,415.4,0.857789578088
416.1,0.833962500954,416.1,0.825568932631,416.1,0.830627031357,416.1,0.829489662013,416.1,0.830113145647,416.1,0.830033417258
416.7,0.794221141375,416.7,0.788646677348,416.7,0.792101815824,416.7,0.793744640269,416.7,0.792308155947,416.7,0.793525444419
